id,name,genres
3fyhhXHbGVLuSHFk2SYx4I,Popp Hunna,"philly rap, viral rap"
18C8PYviQQd9zWaJ0yBIOz,Pop,
1stGNsBocVFM9MfQtySETw,Cherry Poppin' Daddies,"eugene indie, swing, swing revival"
5sJliaY83AZZpHWYDGSBbd,Pop,
2Wda8QEZK7twazWzqDvOdk,Maddie Poppe,idol
2k7Tq62lLPfKQKlEafynH0,POP,
1FV3sKugQJFGWgWpMIA2Fy,Cincinnati Pops Orchestra,"american orchestra, pops orchestra"
23yeIhgKuAfp4fDBmBTw6X,Pop,
2jHRNCV3XlGTMJJaBaB3sP,Pop Goes Ambient,
44InkkzsqGnVICpxsUu5qp,Pop,
2z4eiJkDaXYCR9kv2UuSgz,The West Coast Pop Art Experimental Band,"classic garage rock, psychedelic rock"
2lac3lx58BIlY173VzfxWg,Pop,
48LgJ066Hdjrjf2BiIntdx,Popsi og Krelle,bornesange
0lyvQhuV7KKOJ1ZxFd4EgV,Pop,
5wXcLr5v9cv5IAPkcFBvBT,Pop Shalini,"classic konkani pop, filmi"
22LAHM5r4KbtBS1m7RQPI9,pop,
2fSGqh4BJpl0T1LHtd9TQ8,Dani Poppitt,
7DCLRIp1KZ7liWa0k7YInI,Pop,
70lc84qIQU7cNBmLtOQrt3,Poppy Penguin,instrumental lullaby
2iqPzQCTvkVr5bPMZ9rVlS,pop,
6Qz2gLHNk9JULr7HzsEBDg,Poppy,
3Ah6NoOMGWLooHa3keVdkj,POP,
1C6qssOWal7Sii2guMg0mx,Pop Pongkool,"t-pop, thai pop"
2f0tff64w2BNw8CBAbLklC,Pop,
2y3fdY1Oj1x6YNbJB82THh,Poppy's Box,
5SDyUxqWlrg0C9J9rVO9SS,Pop,
730ntnkLWwTRTuYtqvrKVP,Pollie Pop,"chopped and screwed, houston rap"
1mQpNFgNR0uaRogoTzeF3a,Pop,
4MpQ6BLMo0fDNTZhY7ohRJ,Cake Pop,"hyperpop, proto-hyperpop"
6CBJ40uTiivOgpeRRzm99y,POP,
2D3ztMHoKJOJs3HgQJPXf6,Project Pop,"indonesian pop, indonesian pop rock"
6ZA1dquOSynGGxeqVXhR9g,Pop,
195sLVT8B73azUmqFmbaca,Popov,turbo folk
5Sy4YJcdBg28hxkkJO2G7k,Pop,
4NtiLs5NpjgZDHNBEMbjKz,Popek,polish hip hop
5qvz4bemO73o6zhrCjaEbx,PoP,
5kPUAJihniO5WfEfbOCjLf,Ana Popovic,modern blues
14lkecemcXmeeLxoppYJG2,POP,
4zNhfG6i4QlfUuzt1hBGu2,Alexander Popov,"progressive house, progressive trance, russian trance, trance, uplifting trance"
4ettHZltpujdxHqpQ5Ch20,Pop,
5iGQNo8Z0CP1pexweswPdK,Yung Addy pop2addys,
0kbt2Q6dR257u1tXjybPah,POP,
4PKAg3S6JyEG8N9wgjD0fu,Smoking Popes,chicago punk
3NPo5jSn1r3lHuuvTBs739,Pop,
2VAjBQ6cM2faT2UKxONV93,Mini Pop Kids,kids hip hop
2EZiTplZeXinJEh4xltdqG,Pop,
3dENObUHDNLm5lxRoPn2p1,Popcorn Trees,
0CDnSjURH2rDDnnzG9AeX1,Pop,
16lxHZrzNfDoYGGfbWIdQF,Poppy Mercury,"classic indo pop, dangdut, indonesian psychedelia"
35r6Uq2N1rt9BwmkxXHOwT,Pop,
2hyTxsipYZ4IKdiHhTzufD,KEES POP,
5bHjVR4F2Tfq4Ha6x7K6wU,Rockabye Baby!,lullaby
7cZKms5sobqqpTswyJfAQB,Rockheads,nepali pop
28ExwzUQsvgJooOI0X1mr3,Jay Rock,"conscious hip hop, hip hop, rap, southern hip hop, trap"
7vKlWZCVYQIdYzo6anAGkE,rock,
7dOBabd5O4CvKrg4iriHTM,Kid Rock,nu metal
2KTDVOTp2crzV4KBe16SgW,Rock,
21WS9wngs9AqFckK7yYJPM,PnB Rock,"melodic rap, rap, trap"
2VVFy42xhI7yfomKFAxlCA,Rock,
6JDmbR90UIGFaZcVsbmBWe,Rock,
7k73EtZwoPs516ZxE72KsO,ONE OK ROCK,"j-pop, j-rock"
5YQ2oxTa1E2kaDX5tiDVzo,Rock,
2fSaE6BXtQy0x7R7v9IOmZ,Aesop Rock,"abstract hip hop, alternative hip hop, conscious hip hop"
2WtzprkWeq1YQZsniLzKUY,Rock,
48AVv3cw03WdSB5b4qmNCr,Red Rocks Worship,"anthem worship, ccm, worship"
21tlyJJRwUY0pJ6xKjXIJ9,Rock,
0pPN4tp51uXAhkDux1Mmn4,Rockit Music,"otacore, pixel"
0l91JJ40pv3WaU8w5vunXC,Rock,
2eobLT6bmdvl5yGG5qPAgd,Dj Rockwel Mx,reggaeton mexicano
3eCElW1X5SA87sV9fM1wpQ,Rock,
3mGCLimuzOdod4Lnegny4d,Twinkle Twinkle Little Rock Star,sleep
